,bands,spotify_id,musicbrainz_id,gracenote_era,member_count,spotify_popularity,spotify_genre,spotify_track_popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,lastfm_play_count,lastfm_listener_count,played_warped
15,FIDLAR,3P6duIn7oHeiBACZfYeNud,6910222b-74c2-48fc-8c13-a6b88cc28fc0,2010,1,58,alt-indie rock,46.0,0.0420414,0.3856,198546.0,0.8885,0.12058407,6.0,0.29193,-3.4005,0.0,0.09478,144.4157,4.0,0.3292,4891215,184661,0
16,Wolf Alice,3btzEQD6sugImIHPMRgkwV,3547f34a-db02-4ab7-b4a0-380e1ef951a9,2010,4,58,alt-indie rock,40.0,0.0683239,0.5378,218488.0,0.6816,0.2125519,4.0,0.25006,-7.5665,0.0,0.04691,124.1389,4.0,0.3304,3175561,189558,0
17,GRiZ,25oLRSUjJk4YHNUsQXk7Ut,245256dc-298f-46f5-8b66-fae1145c5ecc,2010,1,63,brostep,51.0,0.0359024,0.6514,292901.0,0.789,0.10215415,6.0,0.24363,-5.5257,0.0,0.05921,116.3921,4.0,0.51975,1181405,90436,0
18,Alina Baraz,6hfwwpXqZPRC9CsKI7qtv1,7fedfdaf-4146-4996-9e2a-a7e39080c329,2010,1,67,deep indie r&b,59.0,0.36698,0.5517,225767.0,0.5458,0.001410922,4.0,0.1907,-8.5389,0.0,0.0774,112.8535,4.0,0.19275,568248,44256,0
19,Ghost,1Qp56T7n950O3EGMsSl81D,57647f66-2f0c-4a29-ae4e-af928c35b694,2010,2,67,alternative metal,49.0,0.02921053,0.4977,299314.0,0.8041,0.12262197,3.0,0.22166,-5.3434,0.0,0.04756,122.6357,3.0,0.34903,13911826,249089,0
20,The Front Bottoms,5ictveRyhWRs8Gt8Dvt1hS,622b6000-ff0d-4ab3-9e98-c4916f3692c3,2010,1,65,alternative emo,53.0,0.02589447,0.4197,222880.0,0.847,1.4855e-05,6.0,0.16158,-4.9771,1.0,0.05173,139.7081,4.0,0.5771,6623141,98542,0
21,Houndmouth,7EGwUS3c5dXduO4sMyLWC5,4a18f60f-7aa9-4476-8d0f-84981d8ccb60,2010,4,59,chamber pop,47.0,0.15356042,0.3651,221119.0,0.6134,0.004000382,3.0,0.38326,-7.1892,1.0,0.04789,146.2526,3.0,0.4166,985340,123237,0
22,Chris Stapleton,4YLtscXsxbVgi031ovDDdh,71d58182-aa37-4c04-b21a-efe46ea0f221,2010,1,72,contemporary country,64.0,0.23879,0.5242,264031.0,0.49927,0.073826439,4.0,0.11702,-9.7296,1.0,0.03378,124.2388,3.0,0.4759,616871,48247,0
23,Tchami,1KpCi9BOfviCVhmpI4G2sY,374a63ed-2502-495a-8e31-139e3ed7507e,2010,1,59,big room,49.0,0.0384876,0.6885,249642.0,0.8702,0.394362,4.0,0.10227,-4.2044,0.0,0.0949,133.0911,3.0,0.46787,442286,73783,0
24,Wild Child,1xLMexpeeTKQ20SwGMaGSK,65fad55d-b0a7-4364-b947-77d9148cfe64,2010,7,55,austindie,45.0,0.58189,0.5966,227221.0,0.4616,0.061664532,6.0,0.14511,-8.7692,1.0,0.04762,118.6085,4.0,0.4827,479337,92017,0
25,BURNS,5p9CTsn5ueGU4oScNX1axu,df9c5e32-c086-4a91-9830-46bbe972908e,2000,1,62,christian christmas,46.0,7.9194e-05,0.3293,215269.0,0.9855,0.5728701,3.0,0.22849,-3.9172,0.0,0.14348,139.064,3.0,0.16737,541861,101560,0
26,Nathaniel Rateliff & The Night Sweats,02seUFsFQP7TH4hLrTj77o,2d97d9a8-e7dd-443f-b7cb-e35700dacd0a,2010,1,64,folk-pop,51.0,0.177354,0.5999,197155.0,0.7982,0.02434208,4.0,0.18203,-5.07,0.0,0.06908,118.438,4.0,0.5964,0,0,0
27,Lettuce,1fZXjUQEkVbB0TvZX4qFR8,e88313e2-22f6-4f6d-9656-6d2ad20ea415,2000,11,53,deep funk,43.0,0.0559491,0.6405,251037.0,0.7895,0.612148,4.0,0.15137,-7.0682,0.0,0.07115,112.9145,4.0,0.7232,875797,70688,0
28,Panama Wedding,4Cjsh7anKDaMnQ3YHB1Xwq,98c3b2ad-dddd-43bd-8058-9d9c4e07b7e9,2010,1,48,indie pop,39.0,0.10886,0.6855,226927.0,0.7234,0.003701587,6.0,0.1471,-6.5521,0.0,0.05133,124.4179,4.0,0.7523,513052,98254,0
